               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.66368,              0.7103,               1.051,             0.65685,             0.74401,             0.73658,             0.60267,             0.86802,              1.1334,               1.352,            0.006337,            0.006337,            0.006337
                  39,             0.71314,             0.74552,              1.0517,              0.6278,             0.80619,             0.73174,             0.58204,             0.90118,              1.1302,              1.3873,            0.006238,            0.006238,            0.006238
                  40,             0.68557,             0.70799,              1.0714,             0.66047,              0.7949,             0.72774,             0.58116,             0.91858,              1.0973,              1.3993,            0.006139,            0.006139,            0.006139
                  41,             0.71483,             0.73472,              1.0786,             0.61513,             0.78779,             0.71335,             0.57901,             0.87406,              1.0797,              1.3418,             0.00604,             0.00604,             0.00604
                  42,             0.68358,             0.74333,              1.0648,              0.7032,              0.7297,             0.72481,             0.59397,             0.81977,               1.034,              1.2764,            0.005941,            0.005941,            0.005941
                  43,             0.69912,             0.74498,              1.0723,             0.71231,             0.76064,             0.76285,             0.62563,             0.80419,              1.0304,              1.2704,            0.005842,            0.005842,            0.005842
                  44,             0.65026,             0.68123,              1.0299,              0.6724,             0.76898,             0.74388,             0.59397,             0.86641,              1.1021,              1.3339,            0.005743,            0.005743,            0.005743
                  45,             0.64952,             0.70187,              1.0474,             0.68689,             0.75291,             0.76679,             0.62363,             0.82284,              1.0018,              1.2858,            0.005644,            0.005644,            0.005644
                  46,             0.67863,             0.70877,              1.0433,             0.61822,             0.71858,             0.73987,             0.60136,             0.88509,              1.0864,               1.336,            0.005545,            0.005545,            0.005545
                  47,             0.66516,             0.67418,              1.0491,             0.63064,             0.75773,             0.74327,             0.60561,             0.84783,              1.0511,              1.3428,            0.005446,            0.005446,            0.005446
                  48,             0.64243,             0.64104,              1.0521,             0.69081,             0.70841,             0.72909,             0.58464,             0.85033,              1.0172,              1.3266,            0.005347,            0.005347,            0.005347
                  49,             0.63169,             0.65876,              1.0274,             0.65003,             0.75545,              0.7262,             0.59142,             0.83211,              1.0733,              1.3063,            0.005248,            0.005248,            0.005248
                  50,             0.61765,             0.66162,              1.0313,             0.63472,             0.79536,             0.75382,             0.61133,              0.8511,              1.0114,              1.3414,            0.005149,            0.005149,            0.005149
                  51,             0.64571,             0.67027,              1.0399,             0.66845,             0.80527,             0.75499,             0.61688,             0.80569,              1.0386,              1.2895,             0.00505,             0.00505,             0.00505
                  52,             0.64449,             0.67882,              1.0414,             0.63275,             0.79379,             0.75123,             0.61421,             0.81973,              1.0113,               1.303,            0.004951,            0.004951,            0.004951
                  53,             0.59194,             0.61651,              1.0038,             0.65852,              0.7227,              0.7391,              0.6131,             0.81642,              1.0253,              1.3147,            0.004852,            0.004852,            0.004852
